AnimalID,Name,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,class
A688689,Tex,Partner,Dog,Intact Male,5 months,Chihuahua Shorthair Mix,Tan/White,Transfer
A708741,Kit Kat,Partner,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,Transfer
A686634,Sammy,,Dog,Spayed Female,4 months,Labrador Retriever Mix,Yellow,Adoption
A678845,,Foster,Dog,Neutered Male,1 month,Jack Russell Terrier Mix,Black/White,Adoption
A715878,Clementine,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A694195,Scooby,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Black,Adoption
A681801,Donny,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A695693,Sprinkle,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico/White,Adoption
A681410,Nym,,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby,Adoption
A692875,Rembrandt,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black/White,Adoption
A678192,P.T. Barnum,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,Adoption
A693894,Shiva,,Dog,Spayed Female,4 years,Chihuahua Longhair Mix,Black/White,Return_to_owner
A628569,Bevo,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A713099,,SCRP,Cat,Intact Female,4 months,Siamese Mix,Lynx Point,Transfer
A667934,Charlie,,Dog,Spayed Female,1 year,Australian Cattle Dog,White/Red,Return_to_owner
A697724,,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,Adoption
A692880,Daphne,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown,Adoption
A686850,Charlie,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Cream Tabby,Adoption
A665491,Oso,,Dog,Intact Male,1 year,German Shepherd Mix,Black,Return_to_owner
A714223,Chekov,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Adoption
A688523,Basil,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,Transfer
A661628,Ginger,Foster,Dog,Spayed Female,3 years,Miniature Poodle/Yorkshire Terrier,Brown,Adoption
A624436,Chico,,Dog,Neutered Male,3 years,Parson Russell Terrier/Chihuahua Shorthair,White/Brown,Return_to_owner
A695854,Riley,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White,Adoption
A683960,,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A709067,Earlene,,Dog,Intact Female,5 months,Boxer Mix,Black/White,Return_to_owner
A695145,,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby,Transfer
A678209,,In Foster,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,Died
A689269,Mindy,,Dog,Spayed Female,2 years,Soft Coated Wheaten Terrier Mix,Tan/White,Return_to_owner
A686152,Sandy,Foster,Dog,Spayed Female,9 years,Pit Bull Mix,Fawn/White,Adoption
A693678,Kc,,Cat,Intact Female,20 years,Domestic Shorthair Mix,Brown Tabby/White,Return_to_owner
A719971,Peanut,,Dog,Neutered Male,2 months,Dachshund/Beagle,Brown/White,Adoption
A715872,Bagel,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Yellow,Adoption
A499156,Shadow,Partner,Dog,Spayed Female,8 years,Shetland Sheepdog/Basenji,Brown/White,Transfer
A685338,Pep,Partner,Dog,Intact Male,5 years,Shih Tzu/Cocker Spaniel,Black/Gray,Transfer
A668733,Gypsy,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White,Return_to_owner
A682547,Sweet Boy,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue/White,Adoption
A680414,Twix,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,Adoption
A675809,Dill,Partner,Dog,Intact Male,10 months,Chihuahua Shorthair Mix,Tan,Transfer
A712337,Howard,Partner,Dog,Neutered Male,2 years,Australian Cattle Dog/Staffordshire,Black/White,Transfer
A668746,Luckey,,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Blue Tabby,Adoption
A707061,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Brown Tabby,Transfer
A704749,Maya,,Dog,Spayed Female,2 years,Boxer Mix,Brown Brindle/White,Adoption
A692781,Bonnie,,Dog,Neutered Male,5 months,Labrador Retriever Mix,White/Black,Adoption
A716235,Mikko,,Dog,Neutered Male,10 months,Pit Bull Mix,White/Brown,Adoption
A616295,Baby,Behavior,Dog,Spayed Female,6 years,Pit Bull Mix,White/Tan,Euthanasia
A704582,,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,Transfer
A684612,Miller,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,Adoption
A664462,Edgar,Partner,Dog,Intact Male,4 months,Leonberger Mix,Brown/White,Transfer
A683585,,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/White,Adoption
A704979,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,Transfer
A635698,Taco,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black,Adoption
A682606,Diesel,Foster,Dog,Neutered Male,1 month,Labrador Retriever Mix,Chocolate/White,Adoption
A699035,Roxy,Partner,Dog,Intact Female,8 years,Pit Bull Mix,Brown Brindle/White,Transfer
A696201,Hazel,,Dog,Spayed Female,5 months,Pit Bull Mix,Tan/White,Return_to_owner
A715181,,,Dog,Spayed Female,4 months,Maltese Mix,Buff,Adoption
A664496,,Partner,Dog,Intact Female,8 years,Rat Terrier Mix,White/Black,Transfer
A692532,Sadie,,Dog,Spayed Female,2 years,Australian Terrier Mix,Brown,Adoption
A674718,Poppy,,Cat,Spayed Female,2 years,Domestic Longhair Mix,Calico/White,Adoption
A678658,Killer,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Brown/White,Adoption
A684016,Nippy,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Gold/White,Return_to_owner
A694408,Emma,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White,Transfer
A695605,Axel,Partner,Dog,Neutered Male,5 years,Pit Bull Mix,Brown/White,Transfer
A700782,Puppy,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White,Adoption
A676259,Bowser,,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,White/Brown,Adoption
A702437,Blue Grit,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Adoption
A663938,,Suffering,Dog,Neutered Male,10 years,Rottweiler/Labrador Retriever,Black/Tan,Euthanasia
A679965,Melanie,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White,Transfer
A707737,North,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A712229,Ginger,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A719643,Duke,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White,Return_to_owner
A680417,Starburst,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Adoption
A681906,Violet,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue/White,Adoption
A699169,Deuce,,Dog,Neutered Male,8 years,Labrador Retriever/German Shepherd,Brown,Return_to_owner
A719020,Riley,,Dog,Neutered Male,3 months,Labrador Retriever/Standard Schnauzer,Black/White,Adoption
A677451,Morgan,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,Transfer
A690415,Bernard,Foster,Cat,Neutered Male,3 months,Snowshoe Mix,Seal Point,Adoption
A677305,,Foster,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A681494,,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A700210,,,Dog,Neutered Male,3 years,Australian Terrier Mix,Brown,Adoption
A670717,Nuka,,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Sable/Tan,Return_to_owner
A707322,Rocky,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,Adoption
A702378,,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black,Adoption
A712408,Curry,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A711839,Sondrea,Partner,Cat,Spayed Female,5 years,Domestic Longhair Mix,Black/White,Transfer
A690309,,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown,Adoption
A686594,,Partner,Dog,Intact Male,4 months,Catahoula/Labrador Retriever,Black/White,Transfer
A663692,Austin,Aggressive,Dog,Neutered Male,6 years,Plott Hound Mix,Brown Brindle/White,Euthanasia
A560007,Alfie,,Dog,Neutered Male,6 years,Miniature Schnauzer,Gray,Return_to_owner
A704547,Samantha,Partner,Dog,Intact Female,1 month,German Shepherd/Boxer,Brown/Black,Transfer
A697409,,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby,Transfer
A666646,,Partner,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White,Transfer
A691846,Manny,,Dog,Neutered Male,3 years,American Bulldog Mix,White,Adoption
A680965,Taco,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Sable/Tan,Return_to_owner
A716684,Beethoven,Foster,Cat,Neutered Male,2 months,Siamese Mix,Seal Point/White,Adoption
A679360,Dexter,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,Adoption
A695642,,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black,Transfer
A672608,Ivy,,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White,Return_to_owner
A711586,,Partner,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Orange Tabby,Transfer
A605337,Ruby,,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/White,Adoption
A690262,Dinky,,Dog,Neutered Male,2 years,Bichon Frise Mix,White,Return_to_owner
A674025,Bruce,,Dog,Neutered Male,2 months,Scottish Terrier Mix,Brown Brindle/White,Adoption
A679068,Idris,Partner,Cat,Unknown,2 years,Snowshoe Mix,Seal Point,Transfer
A357021,Queens,,Dog,Spayed Female,10 years,Labrador Retriever/Pit Bull,White,Return_to_owner
A666591,Mila,Foster,Cat,Spayed Female,4 months,Domestic Longhair Mix,Blue Tabby,Adoption
A700454,,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Blue Tabby/White,Transfer
A707406,,Partner,Dog,Neutered Male,2 years,Pekingese Mix,Brown,Transfer
A666618,Tater Tot,Partner,Dog,Spayed Female,1 year,Shih Tzu/Maltese,White,Transfer
A698280,,,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black,Adoption
A700397,Mercedes,,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,White/Brown,Adoption
A697397,,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Blue,Transfer
A719447,Roberto,,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Tricolor,Adoption
A690007,Bailey,Partner,Cat,Spayed Female,3 years,Domestic Shorthair,Black/White,Transfer
A664576,,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A705104,Emma,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie/White,Adoption
A689759,Rex,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Merle/Tan,Return_to_owner
A675125,,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,Euthanasia
A699785,,Partner,Dog,Neutered Male,5 months,Shih Tzu,White/Blue Merle,Transfer
A693529,Buhner,,Dog,Neutered Male,1 year,Labrador Retriever/Catahoula,White/Black,Adoption
A669293,Mini Mouse,,Dog,Spayed Female,4 years,Newfoundland/Labrador Retriever,Black/Brown,Adoption
A687421,,,Dog,Spayed Female,2 years,Dachshund Mix,Brown/White,Adoption
A713163,Peanut,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue Tabby,Transfer
A713485,Kuku,,Cat,Spayed Female,11 months,Domestic Medium Hair Mix,Calico,Adoption
A705198,Mike,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A669824,Jackson,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,Transfer
A665755,Fiona,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,Adoption
A680525,Kendall,Partner,Dog,Spayed Female,3 years,Boxer/Australian Cattle Dog,Tricolor,Transfer
A710989,,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black,Transfer
A684376,Jasper,Partner,Dog,Intact Male,4 months,Australian Kelpie Mix,Brown Brindle,Transfer
A687844,,Partner,Dog,Intact Male,5 years,Lhasa Apso/Miniature Schnauzer,Gray,Transfer
A711639,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico,Transfer
A667150,Fara,,Dog,Spayed Female,7 years,Jack Russell Terrier/Beagle,White/Brown,Adoption
A674116,Scarlett,,Dog,Spayed Female,5 months,Golden Retriever/Labrador Retriever,Red,Adoption
A682754,Riley,,Dog,Neutered Male,3 years,Boxer Mix,Brown/White,Adoption
A688911,W,,Dog,Intact Male,5 years,Labrador Retriever,Chocolate,Return_to_owner
A665629,Baby Boy,Partner,Dog,Neutered Male,5 years,Australian Cattle Dog/Chow Chow,Red Merle/White,Transfer
A716150,Pancho,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Silver/Black,Adoption
A668772,Zeus,,Dog,Neutered Male,6 months,German Shepherd Mix,Black/Tan,Adoption
A665661,Julia,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black,Return_to_owner
A707771,,,Dog,Spayed Female,2 years,English Bulldog Mix,White,Adoption
A704095,Peach,Partner,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Chocolate,Transfer
A695340,Sunny,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Brown,Adoption
A701085,,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A679075,,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Transfer
A694051,,Partner,Dog,Intact Male,2 weeks,Anatol Shepherd Mix,Black,Transfer
A687258,Chiquita,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A701791,Arwen,Foster,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White,Adoption
A710950,,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby,Transfer
A717451,Fallerina,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Tortie,Transfer
A716569,,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,Transfer
A716692,Madonna,,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Calico,Adoption
A709610,Sweetums,Partner,Dog,Intact Female,1 month,Blue Lacy/Australian Kelpie,Tricolor,Transfer
A688501,Watson,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black,Transfer
A673777,,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Yellow,Transfer
A673629,Queenie,,Dog,Spayed Female,10 years,Yorkshire Terrier,Tan/Gray,Adoption
A688584,Preston,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream,Return_to_owner
A718842,Mellow,,Dog,Spayed Female,1 year,Great Pyrenees Mix,White,Adoption
A696540,Robbie,Suffering,Dog,Neutered Male,5 years,Pit Bull Mix,Brown/White,Euthanasia
A716881,,,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A692964,,Foster,Dog,Spayed Female,1 month,Australian Cattle Dog Mix,White/Black,Adoption
A700360,Uno,Partner,Dog,Intact Male,2 years,Boxer Mix,Brown Brindle/White,Transfer
A675803,,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Brown,Transfer
A694406,Star,,Dog,Intact Female,4 years,Pit Bull Mix,Black/White,Return_to_owner
A687435,Henry,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,Adoption
A701978,,Partner,Dog,Intact Male,2 months,German Shepherd Mix,Black/Tan,Transfer
A696414,Oreo,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Black/White,Transfer
A679309,,In Foster,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White,Died
A692727,Dean,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A693580,Shakira,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Black,Adoption
A718506,Hatch,,Dog,Spayed Female,14 years,Yorkshire Terrier Mix,Tan,Return_to_owner
A697847,Randalls Cub,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,Adoption
A669767,,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,Transfer
A712802,Autumn,,Dog,Spayed Female,4 months,Plott Hound Mix,Black Brindle/White,Return_to_owner
A681485,Diva,,Dog,Spayed Female,2 years,Rottweiler/Labrador Retriever,Black/Tan,Adoption
A679790,Blue,,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Gray/White,Adoption
A706249,Nebula,,Dog,Spayed Female,5 months,Pit Bull Mix,Blue Tiger,Adoption
A683729,,,Dog,Neutered Male,1 year,Pointer/Labrador Retriever,White/Brown,Adoption
A691972,,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Gray Tabby/White,Adoption
A711523,,Partner,Cat,Intact Male,6 days,Domestic Shorthair Mix,Black/White,Transfer
A709946,Aleman,,Dog,Neutered Male,1 year,German Shepherd/Siberian Husky,White/Black,Adoption
A668453,Koda,,Dog,Spayed Female,3 years,Norfolk Terrier Mix,Black/Tan,Adoption
A711241,Nigel,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,Adoption
A692296,Neo,Partner,Dog,Intact Male,1 year,Shetland Sheepdog Mix,White/Tan,Transfer
A679155,,Foster,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Sable,Adoption
A689294,Chalupa Btmn,,Dog,Neutered Male,1 year,Dachshund Longhair/Cairn Terrier,Black/White,Adoption
A711200,Cookie,,Dog,Spayed Female,1 year,Rottweiler Mix,Black/Tan,Adoption
A671751,Steven,Offsite,Dog,Neutered Male,10 months,Shetland Sheepdog/Dachshund Longhair,Brown/White,Adoption
A687312,,Partner,Dog,Spayed Female,4 months,Boykin Span/Dachshund,Black/Tan,Transfer
A695922,Lulu,,Dog,Spayed Female,5 years,Beagle/Basset Hound,Tricolor,Adoption
A680258,Jack,,Dog,Neutered Male,7 years,Beagle Mix,White/Brown,Return_to_owner
A689528,Clementine,Partner,Dog,Spayed Female,2 years,Havanese Mix,White,Transfer
A668905,,,Dog,Spayed Female,2 years,Boxer Mix,Red/White,Adoption
A672182,Midnight,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White,Adoption
A691203,Flicka,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Blue,Adoption
A675186,,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A719586,Pulga,Partner,Dog,Spayed Female,9 months,Border Collie Mix,White/Tan,Transfer
A673726,,Partner,Dog,Intact Female,1 month,Plott Hound Mix,Black/Brown Brindle,Transfer
A716160,,SCRP,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Orange Tabby,Transfer
A688654,Bramwell,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,Adoption
A680016,,Aggressive,Dog,Intact Female,4 years,Pit Bull Mix,Blue,Euthanasia
A666110,Precious,,Dog,Spayed Female,2 years,Staffordshire Mix,Brown/Black,Adoption
A666877,Romeo,Partner,Dog,Neutered Male,1 year,Dachshund Mix,Tan/White,Transfer
A693454,Daisy,,Dog,Spayed Female,3 years,Labrador Retriever/Boxer,Brown/White,Return_to_owner
A672566,Cookies,,Dog,Spayed Female,1 year,Pointer Mix,White/Black,Return_to_owner
A718984,Abel,,Dog,Neutered Male,6 years,Toy Poodle Mix,Apricot,Adoption
A533602,Daisy,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Buff,Return_to_owner
A710379,Ginny,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Tan/Black,Transfer
A656094,Merri,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,Adoption
A715036,,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue/White,Transfer
A715064,Nathan,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue/White,Return_to_owner
A668553,Rosemary,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,Adoption
A474311,Shadow,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby,Adoption
A690536,Fiona,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Adoption
A698684,Vinnie,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,Return_to_owner
A680633,Kanga,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,Adoption
A686972,,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Gray Tabby,Return_to_owner
A679433,Polly,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby,Adoption
A719720,Cotton,Partner,Cat,Intact Female,4 years,Siamese Mix,Seal Point,Transfer
A691508,Zuchinni,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,Transfer
A652974,Pickles,,Dog,Spayed Female,2 years,Toy Poodle,White,Adoption
A702332,,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Blue,Transfer
A688973,Captain,,Dog,Neutered Male,1 year,Chesa Bay Retr Mix,Brown,Adoption
A676609,Buddy,,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown,Adoption
A709087,Pickles,,Cat,Neutered Male,5 months,Domestic Shorthair,Brown Tabby/White,Adoption
A662436,Holly,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Blue,Adoption
A678591,Parker,,Dog,Spayed Female,3 months,Cardigan Welsh Corgi Mix,Tricolor,Adoption
A694995,,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black,Transfer
A705076,Bea,Partner,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,Transfer
A667984,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby,Transfer
A708341,,Suffering,Cat,Unknown,4 months,Domestic Shorthair Mix,White/Black,Euthanasia
A693061,Jasper,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,Transfer
A670215,Pinguis,,Dog,Neutered Male,1 year,Boston Terrier Mix,Black/White,Return_to_owner
A689969,Paprika,Foster,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Calico,Adoption
A683216,Peggy,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,Transfer
A620418,Yodi,Foster,Dog,Neutered Male,3 years,Chihuahua Shorthair,Black,Adoption
A668632,,Suffering,Dog,Intact Female,3 years,German Shepherd/Labrador Retriever,Black,Euthanasia
A672146,Red,,Dog,Neutered Male,3 years,Pit Bull Mix,Red/White,Adoption
A707306,Lil Bit,,Dog,Neutered Male,12 years,Bichon Frise,White,Return_to_owner
A688399,Goobey,Partner,Dog,Neutered Male,7 years,Pembroke Welsh Corgi Mix,Tan,Transfer
A715148,Booboo,,Dog,Intact Male,2 years,Miniature Poodle,Black,Return_to_owner
A694837,Kujo,,Dog,Neutered Male,2 years,Jack Russell Terrier/Chihuahua Shorthair,Tan/Brown,Return_to_owner
A670771,Chevy,,Dog,Neutered Male,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Tricolor,Adoption
A692904,Chip,,Dog,Neutered Male,2 months,Beagle/Chihuahua Shorthair,Black/Tan,Adoption
A710425,Sophia,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,White,Adoption
A697158,Max,Offsite,Dog,Neutered Male,2 months,Newfoundland Mix,White/Black,Adoption
A705440,Obi,,Dog,Neutered Male,2 years,Great Pyrenees Mix,White/Buff,Return_to_owner
A692535,Oswald,Suffering,Cat,Spayed Female,12 years,Domestic Medium Hair Mix,Black/White,Euthanasia
A664960,G.O.D.,,Dog,Intact Female,9 months,Pit Bull Mix,Black/White,Return_to_owner
A713849,Cameron,,Dog,Neutered Male,7 months,Catahoula/Anatol Shepherd,Blue Merle,Adoption
A658010,Suki,,Dog,Spayed Female,3 years,Saluki Mix,Brown/White,Adoption
A660026,Canelo,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/Tan,Transfer
A703404,,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,Transfer
A693348,Griffin,Partner,Dog,Intact Male,6 months,German Shorthair Pointer Mix,White/Tan,Transfer
A716818,Hudson,Partner,Dog,Neutered Male,1 year,German Shepherd Mix,Brown,Transfer
A676275,,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,Adoption
A666894,Aidan,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,Adoption
A679290,Lily,,Dog,Spayed Female,1 year,Dachshund Mix,Black/White,Adoption
A717499,Jerico,,Dog,Neutered Male,5 years,Mastiff Mix,Brown Brindle/White,Adoption
A691114,Harley,,Dog,Neutered Male,6 months,Landseer Mix,Black/White,Adoption
A679620,,Partner,Dog,Intact Male,4 years,German Shepherd,Brown/Black,Transfer
A708188,Beasley,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue,Adoption
A684113,Sam,,Dog,Spayed Female,1 year,German Shepherd Mix,White,Adoption
A717722,George,,Cat,Neutered Male,4 months,Siamese Mix,Lilac Point,Adoption
A656761,Gotti,Court/Investigation,Dog,Intact Male,7 years,Pit Bull Mix,Fawn,Euthanasia
A667434,Kaua'I,,Dog,Spayed Female,2 years,Australian Shepherd,Tricolor,Adoption
A687606,Maryjane,,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White,Adoption
A682799,Babe,Foster,Dog,Spayed Female,3 years,Presa Canario Mix,Brown Brindle,Adoption
A662399,Skye,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Lynx Point,Adoption
A676443,Bedo,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown,Return_to_owner
A582875,Chops,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Black,Return_to_owner
A664272,Grace,Partner,Dog,Spayed Female,1 year,Cairn Terrier Mix,Brown,Transfer
A664927,Chiko,,Dog,Neutered Male,2 years,Pit Bull/Basset Hound,Tan/White,Return_to_owner
A693879,,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,Transfer
A520572,Hanna,,Dog,Spayed Female,6 years,Catahoula Mix,Brown Brindle/White,Return_to_owner
A690567,,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby/White,Transfer
A677245,,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,Transfer
A678506,Prec Punkin',Suffering,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black,Euthanasia
A682526,Major,,Dog,Intact Male,2 years,Staffordshire Mix,Fawn/White,Return_to_owner
A681091,Milburn,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby,Transfer
A679572,Beau,Foster,Cat,Neutered Male,1 month,Domestic Medium Hair Mix,Brown Tabby,Adoption
A666504,,Partner,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White,Transfer
